Restaurant_id,Event_title,Event_description,Start_date,End_date,Start_time,End_time,Display_date,Display_time,Date_added,Is_active
308322,IPL Match Screenings,It's #IPL season and we're screening 'em all! Come one and all to witness the drama and pair it with our On Tap offer on beer - Stella + Hoegaarden! See you!,2017-04-05,2017-05-21,10:00:00,01:00:00,05 April - 21 May,10:00 am - 01:00 am,2017-04-05 14:18:49,1
18037817,Live Fusion Night with Suboni Brothers,"Welcome your Sunday some Live Fusion with Suboni Brothers only at Qubitos - The Terrace Cafe on 16th April, Sunday.
They play some great live fusion for you in fusion night. Be a part of amazing night!!


For Reservation : 9599800400, 9599800500

Date : 16 April, Sunday
Time : 9 PM onwards
Venue : Qubitos - The Terrace Cafe",2017-04-16,2017-04-17,21:00:00,00:00:00,16 April - 17 April,09:00 pm - 12:00 am,2017-04-11 13:52:17,1
18037817,"Raenit Singh Ft. Sarvagya The Band, Qubitos","On this wednesday is going to be perfect at your favourite Qubitos - The Terrace Cafe this week with Raenit Singh Ft. Sarvagya Band performing Live!!!

Relax your evening with a soulfoul voice and a new ambiance, delectable food and enjoy the awsome live performance.

For Reservation : 9599800400,9599800500

Date : 19th April, Wednesday
Time : 9 PM Onwards
Venue : Qubitos - The Terrace Cafe",2017-04-19,2017-04-20,21:00:00,01:00:00,19 April - 20 April,09:00 pm - 01:00 am,2017-04-15 17:20:41,1
307490,SALSA NIGHT,Sundays are the best days to dance! Why? Because it's Salsa Sundays tonight at #summerhousecafe! Get groovin'!,2017-04-16,2017-04-17,21:00:00,00:30:00,16 April - 17 April,09:00 pm - 12:30 am,2017-01-11 23:04:19,1
307490,Karaoke Night,Don't hide coz its monday! Come out n sing your heart out at #summerhousecafe tonight. #karaoke nights with Esther and Radhika Shankar.,2017-04-17,2017-04-18,21:00:00,00:30:00,17 April - 18 April,09:00 pm - 12:30 am,2017-01-11 22:06:46,1
307490,COMEDY NIGHT,Enjoy live band followed by comedy night in association with higher learning productions every tuesday.,2017-04-18,2017-04-19,21:00:00,00:30:00,18 April - 19 April,09:00 pm - 12:30 am,2017-02-15 17:00:57,1
307490,BoxoutWednesdays #007 w/ bj&oslash;rn torske &amp; moniker,"Designed to showcase sounds and styles that champion underground culture, #BoxoutWednesdays help build and serve a community that remains neglected by mainstream media.

19th april gig sees a special edition with experimental Norwegian house and techno pioneer Bjørn Torske bringing his Scandinavian space disco sound to India. 

Active as a DJ and producer for nearly 20 years, he has been a central figure through out the ascension of the Norwegian scene.

With support from Moniker.",2017-04-19,2017-04-20,21:00:00,00:30:00,19 April - 20 April,09:00 pm - 12:30 am,2017-04-13 18:14:03,1
307490,Helsinki Nights presents San Soda,"Helsinki Nights presents San Soda

DISCO SET 

6th May, Saturday

9:30pm Onwards",2017-05-06,2017-05-07,21:30:00,00:30:00,06 May - 07 May,09:30 pm - 12:30 am,2017-04-12 17:33:14,1
303960,Bollywood Night With Raftaar,"Raftaar fans, do you hear him already? Come be a part of the spectacular groovy night at Manhattan Reloaded on 22nd April, 8 pm onwards. Dance on Raftaar's best hits and some crazy Bolly mixes, with Raftaar and DJ Rony in the house!
Tickets at - https://www.nearbuy.com/preview/40161",2017-04-22,2017-04-23,20:00:00,01:00:00,22 April - 23 April,08:00 pm - 01:00 am,2017-04-07 15:51:43,1
18279449,Acoustic Sunday Sessions With The Rush Band,"Sunday evenings couldn't get better!
HotMess presentsThe Rush Band, to rule your senses and give you a weekend experience to remember!

So wait no more, join in the event and invite all your friends who you wanna be seen with this Sunday night!",2017-04-16,2017-04-16,21:00:00,23:55:00,16 April,09:00 pm - 11:55 pm,2017-04-12 14:39:11,1
311057,IPL LIVE SCREENING,Now enjoy live screening of IPL matches 5th April - 21st May at #MyBarHeadquarters ,2017-04-05,2017-05-21,20:00:00,23:00:00,05 April - 21 May,08:00 pm - 11:00 pm,2017-04-04 12:45:06,1
18246991,IPL Match Screenings,It's #IPL season and we're screening 'em all! Come one and all to witness the drama and pair it with our On Tap offer on beer - Stella + Hoegaarden! ,2017-04-05,2017-05-21,10:00:00,01:00:00,05 April - 21 May,10:00 am - 01:00 am,2017-04-05 14:48:46,1
18017615,TRIPPY TUESDAY,"WHAT'S UP! has always aimed at bringing to you the best of experiences from across the world. Keeping in tune, we now present Trippy Tuesdays. Sit back and enjoy amazing performances by talented singers & musicians with select cocktails on the house for all the ladies on all Tuesdays Starting 6th December, 2015.

Trippy Tuesday is a combination of 2 properties :

1. Live performance by Diptarka - lead singer of Hip Pocket
2. Ladies Night - select cocktails on the house for ladies

Select cocktail will include:

Cosmopolitan
Sex on the beach
Screwdriver
Caprioska
Pina Colada
Mojito
Adam and Eve
Pink Lady",2017-01-01,2017-12-31,17:00:00,20:00:00,01 January - 31 December,05:00 pm - 08:00 pm,2016-12-05 13:01:51,1
18017615,11th Hour,"WHAT'S UP PRESENTS:

1:1th HOUR

1:1 on the whole Bar every SATURDAY from 11:00 PM to 12:00 AM",2017-03-21,2017-12-31,23:00:00,00:00:00,21 March - 31 December,11:00 pm - 12:00 am,2017-03-21 22:41:35,1
18017615,BUY 2 GET 1 FREE,"#HappyHours are back! 

Buy 2 and get 1 drink free at your favourite chill-scene from Monday to Friday, 12 PM - 4 PM! So let your hair down and drink it up at #WhatsUp!",2017-04-07,2018-01-31,12:00:00,16:00:00,07 April - 31 January,12:00 pm - 04:00 pm,2017-04-07 14:22:57,1
18217475,Fantastic 4 ,Fantastic 4 weekday lunch@ Rs.363/-,2017-04-11,2017-06-30,12:00:00,23:00:00,11 April - 30 June,12:00 pm - 11:00 pm,2017-04-11 17:13:41,1
24530,OPENING SOON NEAR YOU!,The flavours of Fusion Fantasea and Santa's Fantasea are catching up to a destination near you! Watch this space for more!,2017-04-14,2017-04-28,00:00:00,23:55:00,14 April - 28 April,12:00 am - 11:55 pm,2017-04-14 15:09:00,1
18463285,IPL Screenings at Mumbai Vibe!,"Our favourite sports season is here and we’re happy to announce the special screenings of all the IPL Matches at Mumbai Vibe with amazing deals on alcohol starting today.

For reservations call on : 098208 33420",2017-04-05,2017-05-24,20:00:00,01:00:00,05 April - 24 May,08:00 pm - 01:00 am,2017-04-05 19:03:29,1
18435740,SHOT SLURP WEEKEND ,"Vodka Shots of the day @99/- only 

",2017-04-15,2017-04-16,11:30:00,23:59:00,15 April - 16 April,11:30 am - 11:59 pm,2017-04-02 00:17:29,1
17806994,Easter special Sunday,"Looking for the perfect Easter plan? #Mirchi &Mime invites you to come celebrate with your friends and family, and dive into our special Easter menu;
Also join #Madeira&Mime for Easter dishes and refreshing cocktails (retro music from 8pm onwards)",2017-04-16,2017-04-16,12:00:55,23:59:59,16 April,12:00 pm onwards,2017-04-15 18:16:26,1
18447068,Carnival pet show ,"Cat fancy dress 11 am to 2pm
Dog fancy dress 4pm to 7pm",2017-04-16,2017-04-16,11:00:38,19:00:38,16 April,11:00 am - 07:00 pm,2017-04-15 15:51:21,1
18353121,Unlimited Specialties for Summer Afternoons !,"Coll yourself this summer afternoons with UNLIMITED ""Ace Kacang"" and ""Keri Panna""...",2017-04-10,2017-05-31,11:30:00,15:30:00,10 April - 31 May,11:30 am - 03:30 pm,2017-04-10 09:16:51,1
58882,Turn the Tables - Set Menu @ Rs.1200,"An anti-cancer initiative by Zomato in association with Karunashraya

Help turn the tables in 3 easy steps:

1. Book a table online at Big Brewsky and dine between 7th and 16th April ‘17
2. Enjoy a set menu for Rs.1200 per person
3. Part of proceeds go to Karunashraya",2017-04-07,2017-04-16,00:00:00,22:00:00,07 April - 16 April,12:00 am - 10:00 pm,2017-04-04 14:30:15,1
58882,Big Brewsky presents: Woodstock Sessions 03 feat. DJ TT,"Dj.TT, driven by his passion for re-creating music, he has been entertaining people for almost two decades. His edgy style and keen sense of musical detailing has made him one of the most sought after and Loved Dj’s in the country. He has won the prestigious Times music “ war of the Dj’s “ south zone three times, he has also launched two radio stations in BANGALORE and one in INDORE . He also won India’s first radio talent show conducted by Radio city 91.1 for best track Remixes based on public voting. Dj TT has been a resident dj for various clubs and his penchant for mixing almost impossible tracks to make them absolutely loved has ensured that his CV contains major clubs in india. He has also played with most of the Major Indian and International Dj’s. His versatility and the fact that he can play any genre of music in order to cater to the audiences definately makes Dj TT , one of the best Dj’s in INDIA and his mission “TO MAKE PEOPLE DANCE”.",2017-04-16,2017-04-16,13:00:00,16:00:00,16 April,01:00 pm - 04:00 pm,2017-04-12 01:59:39,1
18385443,#LBW,"#LBW just got a happier meaning. #NowServing #ThandiBeerBuckets & #HelicopterShots while you and the gang #WatchTheMatch rooting for your favourite team this entire sporting season!
",2017-04-10,2017-04-30,11:00:00,00:00:00,10 April - 30 April,11:00 am - 12:00 am,2017-04-10 14:24:52,1
18385443,PaperMoon at #KoramangalaSocial,"Come watch some of the best performers giving their best at PaperMoon and join the family of performers.

This month's topic is ""Stages of Love""

This time we have poi spinners, spoken word poets , musicians, Illusionists, dancers, drag queens, actors...phew! The list goes on.

FEATURING
Daniel Sukumar
Iyappan Abishek
Kevin Rosario Rodrigues
Tushal Kamaraj

Our line up of performers are
Aishwarya Sainath
Akshit Garg
Alex Mathew
Angshuman Sarma
Bharath Divakar
Hamsi Radhakrishnan
Harshit Wadhwani
Jay Malaga
Meera C Govindan
Neil newtoN
Rakesh Regan
Ravi Ramaswamy
Shreya Krishnan
Sidhanth Ashok
Sowmyashree Gonibeedu
Ullas Hydoor
Vibhu Bharadwaj
Vishruti Bindal

How much is it?
Free. (yay)
But, RSVP, please: https://nj19.typeform.com/to/TGdGZ7",2017-04-16,2017-04-16,16:30:00,19:00:00,16 April,04:30 pm - 07:00 pm,2017-03-31 14:11:26,1
18385443,Mixtape presents: SOUL City feat. Bjorn Torske &amp; Robby Banner,"About BJØRN TORSKE (OFFICIAL)

Torske is undoubtedly one of the most phenomenal DJs and producers from Norway who had a significant hand in shaping the Norwegian electronic music scene. He started as a DJ at a local radio station in 1987, where he experimented with remixing, doing tape edits, and played around with synthesizers and drum machines. His first tracks were recorded during 1990, and in 1991 two tracks were released on 12"" vinyl by Belgian label Crammed Discs dance imprint SSR Records. 
About Robby Banner

Robby Banner is a Deep House, Techno & NuDisco DJ from Bangalore. With a love for music from a very young age, he is is a full time practicing Graphic Designer as well as DJ playing in select venus in Bangalore, Goa, Mumbai and India. Whilst abroad studying in New York City, Robby also DJ'ed and spun music on weekends to make money during his student years; His signature Asian Underground sound was influenced by such artists as Talvin Singh, Nitin Sawhney & Karsh Kale. ",2017-04-21,2017-04-22,21:00:00,00:30:00,21 April - 22 April,09:00 pm - 12:30 am,2017-04-14 14:20:08,1
